response_id,pair_id,preferred,file_preferred,file_rejected,model,source_csv
20240308012752_c9580f0243574940a8cad67e32d0a947,1142,1,midi/1142_1.mid,midi/1142_0.mid,pregen_v1,openmusenet2/responses.csv
20240308012906_80c8c09a1bfa4dd6be5e03d085cffdc4,1142,1,midi/1142_1.mid,midi/1142_0.mid,pregen_v1,openmusenet2/responses.csv
20240308012908_341d90f154f74a44a17e8ee009aebe5e,149,1,midi/149_1.mid,midi/149_0.mid,pregen_v1,openmusenet2/responses.csv
20240308012909_887175cdd5474f4b8c5ecc2b3ebdbeff,149,1,midi/149_1.mid,midi/149_0.mid,pregen_v1,openmusenet2/responses.csv
20240308012910_6bdff279b62e4ff08d37043d33ec8e6c,149,0,midi/149_0.mid,midi/149_1.mid,pregen_v1,openmusenet2/responses.csv
20240308012912_abdc2a995b14440880d9d7ede06683ec,571,0,midi/571_0.mid,midi/571_1.mid,pregen_v1,openmusenet2/responses.csv
20240308012914_5e5aaf0dc6374fcfb7bf9b4fca19e78d,571,1,midi/571_1.mid,midi/571_0.mid,pregen_v1,openmusenet2/responses.csv
20240308014103_a81da74dd99647608ec2d651a959e365,1414,0,midi/1414_0.mid,midi/1414_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240308014234_564b87b4a0f74bf2be206a4528101f35,1218,1,midi/1218_1.mid,midi/1218_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240308022658_567e19e28bb74e619902427b350bad2b,944,0,midi/944_0.mid,midi/944_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240308022849_42d5311c4e054d439eb5e7eada2d07ce,456,1,midi/456_1.mid,midi/456_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240308023017_d24d8de4d321450ab09e5379532f3cc9,933,1,midi/933_1.mid,midi/933_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240308061021_a6da7ed6f3db4ac39137350d91648b75,1810,1,midi/1810_1.mid,midi/1810_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240308061026_77e12abb418849fba92b05a92c65301f,1810,1,midi/1810_1.mid,midi/1810_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240308061139_2183e01839ba42008a176f0aa7f77ef3,1072,0,midi/1072_0.mid,midi/1072_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240308061143_85c617b7347c44c59eac7ecb56924e8b,1072,0,midi/1072_0.mid,midi/1072_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240308061347_dc404f54492b4202ac00a0a0c5facffb,1072,0,midi/1072_0.mid,midi/1072_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240308061511_a8f57a8e865e4848bb7cf69ba4c75040,1439,0,midi/1439_0.mid,midi/1439_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240308062235_b302e0695691481d9ff3c027e1b21f50,81,1,midi/81_1.mid,midi/81_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240310070609_fb3648f0b35d43108951b6e47aa1d104,1250,1,midi/1250_1.mid,midi/1250_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240310070826_e28625d78c0342b3b8b46d2db5fc339b,220,1,midi/220_1.mid,midi/220_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240311165449_d1bd61a5d00244b196af5d192c624002,1024,1,midi/1024_1.mid,midi/1024_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240313014859_b57f419413d74790980ef463a23732e8,529,1,midi/529_1.mid,midi/529_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240313015046_9a678efd504e45059794504f691a1e33,1253,0,midi/1253_0.mid,midi/1253_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240401163338_7c8e848ac12143fb8f776f894ed4036d,775,1,midi/775_1.mid,midi/775_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240401163648_795b05a7dbcf4d4cbadc601f108e1ddb,661,1,midi/661_1.mid,midi/661_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240411051706_5bb45921c86048358e22eb3feecb3546,1448,1,midi/1448_1.mid,midi/1448_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240413055202_13be66143fb240adba3f359cd8b8c035,1846,1,midi/1846_1.mid,midi/1846_0.mid,pregen_v1,openmusenet2/old_responses.csv
20240415032521_13689f727f5841829ef4e6132f194bb0,291,0,midi/291_0.mid,midi/291_1.mid,pregen_v1,openmusenet2/old_responses.csv
20240415221155_7aab366d97974b84afd5da1993590a53,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
20240415221521_d394e3f93bda475884753df5a7030890,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
20240415233702_4b369287945e421b9ced90e8f1cfed81,a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea,1,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_1.mid,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_0.mid,usergen_v1,openmusenet2/responses.csv
20240415233705_ea5dcd81452f4db5b02eeeffed95fca1,a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea,0,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_0.mid,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_1.mid,usergen_v1,openmusenet2/responses.csv
20240415233717_728c2f648e8a4917acc12ecf5561a056,a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea,1,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_1.mid,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_0.mid,usergen_v1,openmusenet2/responses.csv
20240415233718_41e02cc28d6e48fba53f54fc8875422f,a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea,0,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_0.mid,midi/a_organ_20240415233401_2d79c81db9e44a50abd1c5d9e7bb69ea_1.mid,usergen_v1,openmusenet2/responses.csv
20240416003039_7c32089b6fb14f518157d27336b2ce8b,221,0,midi/221_0.mid,midi/221_1.mid,pregen_v1,openmusenet2/responses.csv
20240416003213_936bd91a2f274720b5a6ec9bc4c33ed8,1691,1,midi/1691_1.mid,midi/1691_0.mid,pregen_v1,openmusenet2/responses.csv
20240416003352_58463de5170046cdb376b3032bcb9001,1429,1,midi/1429_1.mid,midi/1429_0.mid,pregen_v1,openmusenet2/responses.csv
20240416003957_34d85b08c249417fab4c7b24eef34865,949,0,midi/949_0.mid,midi/949_1.mid,pregen_v1,openmusenet2/responses.csv
