step,reward_mean,reward_std,kl,loss,n_scored,eval_reward,elapsed_s
1,-1.6987,10.8775,0.00000,-0.1236,64,,30
2,0.2275,7.9243,0.00001,-0.1204,64,,46
3,-1.7894,7.5401,0.00002,-0.1206,64,,63
4,-1.6090,8.3170,0.00005,-0.1140,64,,81
5,1.7375,6.6800,0.00006,-0.0891,64,,99
6,0.3957,6.1162,0.00012,-0.1072,64,,116
7,-1.1927,5.8492,0.00015,-0.0878,64,,134
8,2.0800,5.1279,0.00017,-0.1304,64,,153
9,1.0900,9.3291,0.00021,-0.1233,64,,170
10,2.5870,5.7040,0.00025,-0.1030,64,,188
11,1.9522,6.4792,0.00030,-0.0846,64,,205
12,2.8686,8.3749,0.00038,-0.1084,64,,223
13,-2.4135,6.9363,0.00045,-0.1194,64,,240
14,1.4996,4.4974,0.00045,-0.1313,64,,258
15,0.5054,5.3938,0.00043,-0.1138,64,,275
16,3.0418,7.6456,0.00035,-0.0788,64,,292
17,1.1396,4.8207,0.00055,-0.1111,64,,309
18,3.3164,6.0696,0.00071,-0.1311,64,,327
19,5.8034,7.9466,0.00082,-0.0714,64,,345
20,1.7277,8.0774,0.00075,-0.1299,64,,363
21,-0.9460,5.3161,0.00112,-0.0886,64,,380
22,-2.2645,7.4006,0.00087,-0.0863,64,,397
23,0.4555,5.8067,0.00104,-0.1078,64,,414
24,-0.4580,5.5974,0.00083,-0.0650,64,,432
25,1.9324,5.4060,0.00106,-0.1134,63,-5.0183,462
26,-3.2534,9.1275,0.00120,-0.1275,64,,479
27,4.9261,8.0742,0.00118,-0.0698,62,,496
28,-3.6607,4.2043,0.00110,-0.1071,64,,513
29,1.8434,7.3345,0.00164,-0.1311,64,,531
30,-2.6164,5.8404,0.00144,-0.0703,64,,548
31,-1.1997,7.5242,0.00132,-0.1038,64,,565
32,1.8352,7.0384,0.00174,-0.0774,64,,583
33,6.7284,7.3896,0.00166,-0.0898,64,,600
34,-0.6790,6.6423,0.00173,-0.0428,64,,617
35,-0.4635,4.9499,0.00229,-0.1581,64,,635
36,3.4805,6.3902,0.00196,-0.0893,64,,652
37,1.7193,3.3664,0.00119,-0.1189,64,,669
38,0.1363,6.0019,0.00160,-0.0965,64,,686
39,3.1946,8.2932,0.00192,-0.0987,64,,703
40,0.1639,5.9559,0.00202,-0.1027,64,,720
41,-0.9267,7.7279,0.00258,-0.1327,64,,737
42,3.4317,6.0455,0.00203,-0.0629,64,,754
43,3.2244,4.4087,0.00238,-0.1146,64,,771
44,4.1864,5.6424,0.00229,-0.0703,64,,788
45,1.7775,5.5788,0.00326,-0.1238,64,,804
46,1.4245,8.1804,0.00289,-0.1108,64,,820
47,-4.2257,6.5554,0.00370,-0.0704,64,,838
48,6.3261,7.0283,0.00245,-0.0891,64,,855
49,2.3723,7.2334,0.00230,-0.0749,64,,872
50,2.9167,8.1816,0.00357,-0.0688,64,-4.6671,902
51,3.8188,5.4090,0.00351,-0.1110,64,,921
52,4.1255,5.4978,0.00371,-0.0825,64,,937
53,2.1681,6.7669,0.00276,-0.0628,64,,954
54,4.3887,6.7264,0.00384,-0.0753,64,,970
55,3.1731,5.6721,0.00362,-0.1449,64,,986
56,5.1469,6.4697,0.00366,-0.0674,64,,1002
57,2.2133,6.7649,0.00413,-0.1311,64,,1018
58,0.5778,6.1154,0.00420,-0.0925,64,,1034
59,0.3762,6.3059,0.00582,-0.1068,64,,1050
60,0.0913,5.0059,0.00311,-0.0764,64,,1067
61,3.8810,7.2097,0.00405,-0.0699,64,,1083
62,3.8103,6.2846,0.00520,-0.0850,64,,1101
63,-2.2651,5.6963,0.00399,-0.0695,64,,1119
64,-1.0732,6.8607,0.00440,-0.0856,64,,1136
65,6.5942,8.0926,0.00595,-0.0971,64,,1153
66,3.6044,4.6922,0.00457,-0.0760,64,,1170
67,4.9376,6.1890,0.00369,-0.0577,64,,1186
68,3.8024,8.4501,0.00371,-0.0448,63,,1203
69,1.1087,7.1986,0.00522,-0.0557,64,,1218
70,2.9774,5.5675,0.00559,-0.0846,64,,1236
71,-2.2164,7.6429,0.00519,-0.0937,64,,1254
72,5.9004,5.4460,0.00543,-0.0686,64,,1272
73,-1.4982,5.6757,0.00484,-0.0636,64,,1289
74,3.2749,5.4492,0.00487,-0.0506,64,,1307
75,2.1288,9.9590,0.00642,-0.0490,64,-4.6345,1339
76,1.2128,6.1002,0.00803,-0.1199,63,,1356
77,3.0889,7.1524,0.00491,-0.0515,64,,1373
78,6.4407,6.4622,0.00806,-0.0795,64,,1389
79,1.8592,9.4365,0.00797,-0.0834,64,,1406
80,4.6545,7.5969,0.00574,-0.1324,64,,1423
81,-1.4222,6.5104,0.00988,-0.1143,64,,1439
82,-0.1417,9.4554,0.00829,-0.0672,64,,1457
83,4.8539,6.9504,0.00702,-0.0687,64,,1475
84,6.9280,7.1525,0.00747,-0.0788,64,,1493
85,3.1492,4.3801,0.00805,-0.0753,64,,1510
86,1.4309,5.9534,0.00841,-0.0421,64,,1526
87,4.2558,5.5861,0.00696,-0.0900,64,,1543
88,0.6427,7.5785,0.00782,-0.0756,64,,1560
89,-0.1962,4.4435,0.00861,-0.0415,64,,1576
90,3.3522,5.4920,0.00855,-0.0853,64,,1593
91,2.6110,7.1868,0.00893,-0.0804,64,,1609
92,2.5801,3.3215,0.00999,-0.0442,64,,1626
93,1.5730,6.2333,0.00666,-0.0865,64,,1644
94,5.0733,5.5433,0.01056,-0.0519,64,,1661
95,5.2283,8.3987,0.00825,-0.0977,63,,1678
96,1.7419,5.7685,0.00933,-0.0713,64,,1695
97,2.2302,5.8415,0.00799,-0.0670,64,,1712
98,6.0429,9.7279,0.00967,-0.0710,64,,1729
99,4.3947,9.9458,0.00754,-0.0525,64,,1746
100,3.4090,5.1029,0.01165,-0.0806,64,-3.6258,1775
101,6.6322,4.3221,0.00980,-0.0537,64,,1793
102,6.2654,6.4846,0.00855,-0.0422,64,,1811
103,1.0329,4.3467,0.01019,-0.1076,64,,1830
104,1.8197,5.4608,0.01416,-0.0783,64,,1848
105,6.5754,8.4831,0.00825,-0.0464,64,,1865
106,3.1385,6.2228,0.01165,-0.0399,64,,1882
107,1.9306,6.7836,0.00903,-0.0489,64,,1900
108,-0.2283,4.1832,0.01437,-0.0923,64,,1918
109,1.0780,5.3543,0.01361,-0.0503,64,,1935
110,3.6326,8.2676,0.01226,-0.0794,64,,1952
111,1.9360,3.9218,0.01177,-0.0470,64,,1969
